ActionGeo_CountryCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,GLOBALEVENTID,SOURCEURL,SQLDATE,company,industry,sentiment,title,topic,domain
IN,"Bhopal, Madhya Pradesh, India",23.2667,77.4,507179622,http://www.dnaindia.com/money/report-smart-cities-pm-modi-s-initiative-will-need-over-150-billion-in-investments-says-deloitte-2172222,20160131,deloitte,technology,,report smart cities pm modi s initiative will need over 150 billion in investments says deloitte 2172222,investments,www.dnaindia.com
US,"Babson College, Massachusetts, United States",42.299,-71.2634,498715592,http://www.itbusinessedge.com/blogs/data-and-telecom/ibm-making-savvy-pr-and-operational-moves-with-watson.html,20160101,ibm,technology,,ibm making savvy pr and operational moves with watson.html,watson,www.itbusinessedge.com
US,"Michigan, United States",43.3504,-84.5603,499496224,http://www.mytechbits.com/ibm-promises-live-migrations-with-vmware-hybrid-cloud/98134594/,20160105,ibm,technology,,ibm promises live migrations with vmware hybrid cloud,cloud,www.mytechbits.com
US,"West End Historic District, Texas, United States",32.7815,-96.8078,499659036,http://www.computerworld.com.au/article/591560/t-allies-cisco-ibm-intel-city-iot/,20160105,ibm,technology,,t allies cisco ibm intel city iot,iot,www.computerworld.com.au
US,"West End Historic District, Texas, United States",32.7815,-96.8078,499735916,http://www.cio.com/article/3019514/internet-of-things/att-allies-with-cisco-ibm-intel-for-city-iot.html,20160106,ibm,technology,,att allies with cisco ibm intel for city iot.html,iot,www.cio.com
JA,Japan,36.0,138.0,500039138,http://www.lcsun-news.com/story/tech/news/2016/01/06/ibm-unveils-new-watson-partners-internet-things-push/78368366/,20160107,ibm,technology,,ibm unveils new watson partners internet things push,watson,www.lcsun-news.com
US,"Stephens Creek, Montana, United States",45.0489,-110.751,500201635,http://sweetwaternow.com/ibmp-partners-agree-on-bison-management-operations/,20160107,ibm,technology,,ibmp partners agree on bison management operations,operations,sweetwaternow.com
,,,,500260467,http://www.theverge.com/2016/1/7/10726592/ibm-under-armour-watson-ua-record-app-ces-2016,20160107,ibm,technology,,ibm under armour watson ua record app ces 2016,watson,www.theverge.com
US,"Las Vegas, Nevada, United States",36.175,-115.137,500267517,http://theindianrepublic.com/at-t-allies-with-cisco-ibm-intel-for-city-iot-48272.html,20160107,ibm,technology,,at t allies with cisco ibm intel for city iot 48272.html,iot,theindianrepublic.com
AS,"Sydney, New South Wales, Australia",-33.8833,151.217,500446173,http://www.arnnet.com.au/article/591560/t-allies-cisco-ibm-intel-city-iot/,20160108,ibm,technology,,t allies cisco ibm intel city iot,iot,www.arnnet.com.au
